nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;;destacada;expedientenumero
papa francisco etapa 1;Finalizada;vivienda nueva;ministerio de desarrollo humano y habitat;la obra comprende la construccion de 184 viviendas nuevas en el barrio papa francisco para habitantes del barrio 20;21059322119;8;villa lugano;papa francisco;-35∞ -27' 4,17'';-59∞ -35' 43,37'';9/12/2019;31/5/2021;18;100;conorvial;2016;licitacion publica;lp1616;30516492747;552;150;2,02E+11;;
orma 188 viviendas;Finalizada;vivienda nueva;ministerio de desarrollo humano y habitat;la obra comprende la construccion de 188 viviendas nuevas;29470879768;4;barracas;orma 3200;-35∞ -27' 4,17'';-59∞ -35' 43,37'';21/11/2017;30/6/2021;18;100;pecam;2016;licitacion publica;lp0117;30616509361;188;170;2,02E+11;;
obras comuna 4 dique cero caminabilidad  etapa 1;Finalizada;espacio publico;corporacion buenos aires sur;la obra consiste realizar intervenciones urbanas en etapas en el area dedique cero como parte del proceso de integracian peatonal y ciudad a escala humana comprende nivelaciones de cruces peatonales sobre av pedro de mendoza entre las calles gualeguay y 29 de septiembre como tambian la nivelacian de la vereda sobre pedro de mendoza  nueva instalacion de luminarias una nueva reja entre gualeguay y espinoza y una plaza seca entre las calles espinoza y 29 de septiembre incluyendo nivelacian de solado y equipamiento;6646194;4;la boca;pedro de mendoza av 201300;-35∞ -24' 1,74'';-59∞ -30' 50,26'';7/5/2018;12/9/2018;4;100;bosquimano sa;2018;licitacion publica;09cbas2017;30711470022;vecinos;10;46213850;SI;
buenos aires playa 2019 parque indoamericano  obra civil;Finalizada;espacio publico;corporacion buenos aires sur;ejecucion de playa seca para programa bs as playa 2019;1596487;8;villa soldati;escalada av y castaniares av;-35∞ -22' 24,98'';-59∞ -37' 57,53'';19/12/2018;15/3/2019;3;100;marcelina vial sa;2018;contratacian directa;63cbas2018;30714545473;usuarios;10;46213850;;4987697-MGEYA-DGOINFU-2017
nuevos edificios parque olimpico;En Ejecucion;arquitectura;subsecretaria de proyectos y obras;la obra consiste en la construccion de tres nuevos edificios que se emplazaran en el parque ola≠≠mpico edificio ÄúoficinasÄù edificio Äúhotel  escuelaÄù y el edificio centro de ciencias aplicadas al deporte (cad) conjuntamente a ellos se encuentran dos edificaciones auxiliares las cuales aglutinan tanques bombas y subestaciones electricas compartidas dentro del parque ola≠mpico de la juventud;903283412;8;villa lugano;avenida coronel roca n 3980/4170;-35∞ -21' 1,87'';-59∞ -34' 16,08'';15/3/2019;2/8/2024;60;100;sudamericana sa;2018;licitacion publica;650sigaf2018;30610895456;vecinos;10;2,02E+11;;15282589-DGPUYA/2D14
buenos aires playa 2019 parque indoamericano mantenimiento;Finalizada;espacio publico;corporacion buenos aires sur;ejecucion de playa seca para programa bs as playa 2019;628519;8;villa soldati;escalada av y castaniares av;-35∞ -21' 48,42'';-59∞ -33' 34,16'';11/1/2019;5/3/2019;2;100;el presente ltda;2019;contratacian directa;62cbas2018;30714459631;usuarios;10;46213850;;
proyecto de ingenieria relocalizacion canierias impulsion l1 y l2 de aysa;Anteproyecto;ingenieria;subsecretaria de proyectos y obras;elaboracian del proyecto de ingeniera≠a necesario para el corrimiento de dos lineas de agua potable de dn 1100 mm;4598488538;14;palermo;freyre entre dorrego e infanta isabel;-34.607.509;-58.413.265;16/1/2023;28/3/2024;14;0;"c&e construcciones sa	";2022;Licitacion Publica Bac;73231844lpu22;30708288361;usuarios;10;2,02E+11;;
barrio los piletones hormigon a nueva plaza en manzana 195 complejo habitacional los piletones;Finalizada;espacio publico;corporacion buenos aires sur;la obra consiste en realizar las plateas para apoyo contenedores en nuevo espacio publico;692119;8;villa soldati;senderos de la fuerza de la paz 14 de mayo mujeres victoriosas 30153025;-35∞ -20' 42,36'';-59∞ -33' 9,43'';12/9/2018;22/10/2018;1;100;la union ltda;2018;contratacian directa;46cbas2018;30711170053;vecinos;10;46213850;SI;
villa olimpica provision y colocacion de equipamiento de cocina en edificios ug7 p3 y p4 villa olimpica;Finalizada;vivienda;corporacion buenos aires sur;la obra consiste en la provision y colocacion de equipamiento de cocina en los edificios ug7 p3 y p4  villa ola≠≠mpica;6595600;8;villa lugano;av escalada 4200;-35∞ -20' 32,31'';-59∞ -33' 15,53'';2/1/2019;11/2/2019;1;100;miavasa sa;2019;licitacion privada;01cbas2018;30677303863;vecinos;10;46213850;;
parque roca puesta en valor de dos canchas de tenis de piso cemento  parque roca sector c;Finalizada;espacio publico;corporacion buenos aires sur;se trata de mejorar los cercos pisos y demarcacion e iluminacion de dos canchas de tenis a fin de cumplir con las normas de habilitacion para el programa de colanias de verano;1011801;8;villa soldati;roca cnel av 4490;-35∞ -21' 21,58'';-59∞ -33' 2,51'';12/1/2016;31/12/2016;12;100;jorge canelles ltda;2016;contratacian directa;39cbas2016;30708832959;usuarios;10;46213850;;
